[2020-12-17 08:28:29] Error while retrieving https://www.archlinux.org/feeds/news: HTTP response code said error 503
[2020-12-17 08:59:29] Error while retrieving https://www.archlinux.org/feeds/news: HTTP response code said error 503
[2020-12-17 09:57:54] Error while retrieving https://www.archlinux.org/feeds/news: HTTP response code said error 503
[2020-12-17 10:28:53] Error while retrieving https://www.archlinux.org/feeds/news: HTTP response code said error 503
[2020-12-17 20:43:50] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-17 20:43:50] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-17 20:43:50] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-17 20:43:50] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-19 14:43:48] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-19 14:43:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-19 14:43:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-19 14:43:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-19 15:14:48] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-19 15:14:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-19 15:14:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-19 15:14:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-19 15:45:48] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-19 15:45:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-19 15:45:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-19 15:45:48] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
